date,metric,value
2026-07-01,sessions,299
2026-07-01,conversions,14
2026-07-01,revenue,1485.29
2026-07-01,phone_calls,13
2026-07-02,sessions,312
2026-07-02,conversions,10
2026-07-02,revenue,1521.06
2026-07-02,phone_calls,14
2026-07-03,sessions,356
2026-07-03,conversions,9
2026-07-03,revenue,1627.83
2026-07-03,phone_calls,16
2026-07-04,sessions,300
2026-07-04,conversions,14
2026-07-04,revenue,1315.95
2026-07-04,phone_calls,12
2026-07-05,sessions,305
2026-07-05,conversions,10
2026-07-05,revenue,1532.4
2026-07-05,phone_calls,12
2026-07-06,sessions,315
2026-07-06,conversions,10
2026-07-06,revenue,1670.48
2026-07-06,phone_calls,11
2026-07-07,sessions,266
2026-07-07,conversions,12
2026-07-07,revenue,1680.89
2026-07-07,phone_calls,12
2026-07-08,sessions,306
2026-07-08,conversions,11
2026-07-08,revenue,1263.5
2026-07-08,phone_calls,11
2026-07-09,sessions,320
2026-07-09,conversions,13
2026-07-09,revenue,1532.33
2026-07-09,phone_calls,12
2026-07-10,sessions,340
2026-07-10,conversions,10
2026-07-10,revenue,1512.33
2026-07-10,phone_calls,14
2026-07-11,sessions,255
2026-07-11,conversions,14
2026-07-11,revenue,1446.61
2026-07-11,phone_calls,16
2026-07-12,sessions,281
2026-07-12,conversions,11
2026-07-12,revenue,1714.05
2026-07-12,phone_calls,15
2026-07-13,sessions,255
2026-07-13,conversions,12
2026-07-13,revenue,1460.98
2026-07-13,phone_calls,13
2026-07-14,sessions,342
2026-07-14,conversions,14
2026-07-14,revenue,1413.01
2026-07-14,phone_calls,13
2026-07-15,sessions,328
2026-07-15,conversions,12
2026-07-15,revenue,1700.97
2026-07-15,phone_calls,15
2026-07-16,sessions,249
2026-07-16,conversions,14
2026-07-16,revenue,1523.02
2026-07-16,phone_calls,13
2026-07-17,sessions,363
2026-07-17,conversions,13
2026-07-17,revenue,1329.83
2026-07-17,phone_calls,11
2026-07-18,sessions,361
2026-07-18,conversions,9
2026-07-18,revenue,1334.43
2026-07-18,phone_calls,16
2026-07-19,sessions,323
2026-07-19,conversions,13
2026-07-19,revenue,1442.4
2026-07-19,phone_calls,14
2026-07-20,sessions,319
2026-07-20,conversions,12
2026-07-20,revenue,1186.11
2026-07-20,phone_calls,12
2026-07-21,sessions,263
2026-07-21,conversions,11
2026-07-21,revenue,1506.82
2026-07-21,phone_calls,11
2026-07-22,sessions,245
2026-07-22,conversions,10
2026-07-22,revenue,1580.94
2026-07-22,phone_calls,12
2026-07-23,sessions,308
2026-07-23,conversions,13
2026-07-23,revenue,1401.97
2026-07-23,phone_calls,16
2026-07-24,sessions,251
2026-07-24,conversions,12
2026-07-24,revenue,1644.93
2026-07-24,phone_calls,12
2026-07-25,sessions,267
2026-07-25,conversions,14
2026-07-25,revenue,1691.96
2026-07-25,phone_calls,14
2026-07-26,sessions,273
2026-07-26,conversions,13
2026-07-26,revenue,1476.78
2026-07-26,phone_calls,16
2026-07-27,sessions,247
2026-07-27,conversions,14
2026-07-27,revenue,1549.45
2026-07-27,phone_calls,11
2026-07-28,sessions,300
2026-07-28,conversions,12
2026-07-28,revenue,1223.48
2026-07-28,phone_calls,13
2026-07-29,sessions,297
2026-07-29,conversions,12
2026-07-29,revenue,1188.09
2026-07-29,phone_calls,14
2026-07-30,sessions,346
2026-07-30,conversions,12
2026-07-30,revenue,1722.03
2026-07-30,phone_calls,16
2026-07-31,sessions,308
2026-07-31,conversions,10
2026-07-31,revenue,1320.08
2026-07-31,phone_calls,12
