date,granted,denied
2026-08-01,164,83
2026-08-02,231,98
2026-08-03,169,90
2026-08-04,215,99
2026-08-05,223,91
2026-08-06,215,115
2026-08-07,180,103
2026-08-08,184,111
2026-08-09,213,118
2026-08-10,232,100
2026-08-11,209,99
2026-08-12,199,86
2026-08-13,187,112
2026-08-14,189,83
2026-08-15,213,95
2026-08-16,190,87
2026-08-17,199,110
2026-08-18,206,99
2026-08-19,206,101
2026-08-20,160,102
2026-08-21,175,115
2026-08-22,212,120
2026-08-23,201,95
2026-08-24,222,116
2026-08-25,161,109
2026-08-26,175,109
2026-08-27,196,120
2026-08-28,218,90
